natmass,age,sex,sei10,region,polviews
Too much,26,Male,92.8,South atlantic,Moderate
Too little,33,Male,84.5,South atlantic,Liberal
Too little,48,Female,84.2,South atlantic,Moderate
About right,36,Female,92,South atlantic,Moderate
About right,19,Male,26.1,South atlantic,Moderate
Too much,49,Male,28.5,South atlantic,Conservative
About right,38,Male,71.7,South atlantic,Liberal
Too little,44,Female,27.6,South atlantic,Extremely liberal
Too little,29,Female,76.3,South atlantic,Slightly liberal
Too much,28,Female,38.8,South atlantic,Slghtly conservative
About right,42,Female,75.5,South atlantic,Extrmly conservative
Too much,60,Male,31,South atlantic,Slightly liberal
Too little,43,Male,24,South atlantic,Slghtly conservative
Too much,37,Female,52,South atlantic,Conservative
Too much,54,Male,68.6,South atlantic,Slghtly conservative
About right,30,Male,43,South atlantic,Moderate
Too much,55,Female,38.8,South atlantic,Moderate
About right,63,Male,43.9,South atlantic,Extrmly conservative
About right,50,Male,38.3,South atlantic,Moderate
About right,68,Female,38.8,South atlantic,Moderate
About right,36,Female,38.8,South atlantic,Moderate
About right,77,Male,86.1,South atlantic,Conservative
Too little,25,Female,26.1,E. sou. central,Moderate
Too little,26,Male,60.3,E. sou. central,Extremely liberal
About right,49,Female,20.7,E. sou. central,Moderate
Too little,77,Female,19.6,E. sou. central,Slightly liberal
Too little,30,Female,79.6,E. sou. central,Liberal
Too little,54,Male,75.6,E. sou. central,Liberal
About right,29,Male,59.4,E. sou. central,Moderate
Too little,52,Male,20.7,E. sou. central,Slightly liberal
Too little,25,Female,21.5,E. nor. central,Moderate
About right,21,Female,0,E. nor. central,Conservative
Too little,42,Female,20.1,E. nor. central,Conservative
About right,37,Female,13.3,E. nor. central,Slghtly conservative
About right,49,Female,24.2,E. nor. central,Moderate
Too little,56,Female,31.6,E. nor. central,Moderate
Too much,30,Female,41,E. nor. central,Moderate
Too much,67,Male,10.6,E. nor. central,Slghtly conservative
About right,23,Female,82.5,E. nor. central,Moderate
About right,31,Male,38.3,E. nor. central,Slightly liberal
About right,55,Male,43.9,E. nor. central,Extrmly conservative
Too much,24,Female,28.7,E. nor. central,Conservative
Too little,67,Male,28.6,E. nor. central,Conservative
About right,62,Female,24.6,E. nor. central,Moderate
Too little,62,Female,26.1,E. nor. central,Slightly liberal
About right,23,Male,24.2,E. nor. central,Conservative
About right,50,Male,46,E. nor. central,Moderate
About right,54,Male,99.9,E. nor. central,Moderate
Too little,58,Female,31.6,E. nor. central,Moderate
Too much,34,Female,23.8,E. nor. central,Extremely liberal
About right,37,Female,25.7,E. nor. central,Liberal
About right,29,Female,48.8,E. nor. central,Moderate
Too little,52,Female,38.3,W. sou. central,Slghtly conservative
About right,39,Female,84.2,W. sou. central,Conservative
About right,70,Female,80.9,W. sou. central,Conservative
About right,73,Female,67.7,W. sou. central,Moderate
About right,31,Female,35.8,W. sou. central,Slghtly conservative
About right,25,Female,62,W. sou. central,Moderate
About right,62,Male,74.6,W. sou. central,Extrmly conservative
About right,66,Male,34.8,W. sou. central,Liberal
About right,65,Female,13.3,W. sou. central,Moderate
About right,58,Male,29.4,W. sou. central,Liberal
About right,65,Female,24.2,W. sou. central,Slightly liberal
Too much,57,Male,28.7,W. sou. central,Moderate
About right,57,Male,25.2,W. sou. central,Slghtly conservative
About right,30,Male,14,W. sou. central,Conservative
About right,26,Female,13.6,W. sou. central,Moderate
About right,58,Male,18.6,W. sou. central,Moderate
Too much,77,Male,13.6,W. sou. central,Moderate
About right,39,Female,67.7,W. sou. central,Moderate
About right,67,Male,78.3,E. nor. central,Conservative
About right,70,Male,31.2,E. nor. central,Conservative
About right,69,Female,21.8,E. nor. central,Extrmly conservative
About right,87,Female,21.6,E. nor. central,Conservative
About right,66,Female,20.8,E. nor. central,Conservative
Too little,31,Male,76.3,E. nor. central,Conservative
About right,63,Female,47.9,E. nor. central,Moderate
About right,78,Female,43,E. nor. central,Conservative
Too much,68,Male,67.7,E. nor. central,Moderate
About right,51,Male,76.3,E. nor. central,Extrmly conservative
Too little,30,Male,37.6,E. nor. central,Conservative
Too little,32,Female,64.5,E. nor. central,Slightly liberal
About right,39,Male,88,E. nor. central,Moderate
Too little,42,Male,68.6,E. nor. central,Conservative
Too little,48,Female,84.2,E. nor. central,Slightly liberal
Too little,34,Female,82.4,E. nor. central,Liberal
Too little,68,Male,73.6,E. nor. central,Liberal
Too little,52,Male,43,E. nor. central,Moderate
About right,83,Female,82.5,E. nor. central,Moderate
About right,73,Male,84,E. nor. central,Liberal
About right,38,Male,59.1,E. nor. central,Slightly liberal
About right,77,Female,14.6,E. nor. central,Moderate
Too little,36,Male,32,E. nor. central,Moderate
About right,36,Male,20.9,E. nor. central,Liberal
Too little,65,Male,28.5,E. nor. central,Moderate
Too little,24,Male,0,E. nor. central,Liberal
Too little,63,Male,77.4,E. nor. central,Moderate
About right,53,Female,23.3,E. nor. central,Moderate
About right,35,Female,60.2,E. nor. central,Slightly liberal
Too little,76,Male,45.4,E. nor. central,Slghtly conservative
About right,48,Male,77.4,E. nor. central,Slghtly conservative
Too little,27,Male,34.7,E. nor. central,Slghtly conservative
About right,72,Female,39.7,E. nor. central,Slghtly conservative
About right,34,Male,37.6,E. nor. central,Moderate
About right,38,Female,99.9,E. nor. central,Slghtly conservative
Too little,30,Female,60.5,E. nor. central,Conservative
About right,42,Male,80.9,E. nor. central,Liberal
Too little,43,Male,45.1,E. nor. central,Conservative
About right,80,Female,60.3,E. nor. central,Moderate
About right,80,Male,18.8,E. nor. central,Extrmly conservative
About right,42,Female,24.2,E. nor. central,Moderate
Too much,41,Male,68.6,E. nor. central,Conservative
Too little,57,Male,18.6,E. nor. central,Liberal
Too little,49,Male,20.9,E. nor. central,Moderate
Too little,40,Female,0,E. nor. central,Conservative
About right,66,Female,31.6,E. nor. central,Moderate
About right,87,Female,22.9,E. nor. central,Moderate
Too little,59,Male,54.3,E. nor. central,Extremely liberal
Too little,52,Male,57,E. nor. central,Liberal
About right,58,Female,24.6,E. nor. central,Moderate
Too little,30,Male,23.3,E. nor. central,Moderate
About right,26,Female,62.9,E. nor. central,Extremely liberal
About right,20,Male,23.8,E. nor. central,Slightly liberal
About right,20,Male,39.7,E. nor. central,Conservative
Too little,23,Male,99.9,E. nor. central,Moderate
About right,25,Female,25.7,E. nor. central,Moderate
About right,20,Male,21.6,E. nor. central,Slightly liberal
Too little,31,Male,84.5,E. nor. central,Slghtly conservative
Too little,26,Female,87.9,E. nor. central,Extremely liberal
Too much,19,Female,19.6,E. nor. central,Extremely liberal
Too little,30,Male,19.6,E. nor. central,Moderate
Too little,23,Female,39.7,E. nor. central,Moderate
Too little,23,Male,99.9,E. nor. central,Moderate
Too little,53,Male,77.4,E. nor. central,Moderate
About right,19,Female,37.6,E. nor. central,Liberal
About right,40,Female,84.2,E. nor. central,Slightly liberal
About right,47,Male,46.5,E. nor. central,Moderate
About right,38,Male,21.4,E. nor. central,Liberal
About right,54,Female,45.1,E. nor. central,Conservative
About right,47,Female,37.6,E. nor. central,Moderate
About right,67,Female,80.9,E. nor. central,Slghtly conservative
About right,57,Male,80.9,Mountain,Conservative
Too little,89 or older,Male,73.1,Mountain,Extremely liberal
About right,51,Female,52,Mountain,Moderate
Too much,32,Female,23.3,Mountain,Slightly liberal
About right,22,Female,25.7,Mountain,Conservative
Too little,42,Male,25.2,Mountain,Slghtly conservative
Too much,37,Female,0,Mountain,Liberal
About right,54,Male,29.5,Mountain,Slghtly conservative
Too little,24,Female,37.6,Mountain,Moderate
Too little,25,Female,37.6,Mountain,Moderate
About right,44,Female,67.8,Mountain,Liberal
About right,25,Male,27.6,Mountain,Liberal
Too much,24,Male,36.4,Mountain,Slightly liberal
Too little,78,Female,67.7,Mountain,Slghtly conservative
About right,23,Female,38.8,Mountain,Liberal
About right,38,Male,23,Mountain,Liberal
About right,57,Male,38.1,Mountain,Slghtly conservative
About right,70,Female,38.8,Mountain,Extremely liberal
Too little,69,Male,25,Mountain,Liberal
About right,77,Female,12.6,Mountain,Moderate
Too little,25,Male,69.4,Mountain,Slightly liberal
Too little,62,Male,65.1,Mountain,Slghtly conservative
Too little,84,Female,38.3,Mountain,Conservative
Too little,71,Female,52,Mountain,Moderate
Too little,54,Female,52,Mountain,Slghtly conservative
Too little,74,Male,45.4,Mountain,Slghtly conservative
Too little,37,Male,57.5,E. nor. central,Slightly liberal
Too little,80,Male,58.1,E. nor. central,Liberal
Too little,74,Male,25,E. nor. central,Moderate
Too little,37,Female,49.4,E. nor. central,Moderate
About right,33,Female,62.1,E. nor. central,Moderate
Too little,62,Female,60.5,E. nor. central,Moderate
Too little,74,Male,31.2,E. nor. central,Moderate
About right,83,Female,62.9,E. nor. central,Conservative
About right,40,Female,20.1,E. nor. central,Liberal
About right,57,Female,88.7,E. nor. central,Conservative
About right,50,Male,77.7,E. nor. central,Slghtly conservative
Too little,31,Male,27,E. nor. central,Slightly liberal
Too much,36,Male,84,E. nor. central,Liberal
Too much,83,Male,43,E. nor. central,Extrmly conservative
Too little,58,Male,68.6,E. nor. central,Slightly liberal
Too little,29,Male,32.6,E. nor. central,Slightly liberal
Too much,50,Male,46.6,E. nor. central,Moderate
About right,64,Male,70.5,E. nor. central,Moderate
About right,43,Male,84.2,E. nor. central,Conservative
About right,54,Male,71.6,E. nor. central,Slghtly conservative
Too little,72,Male,82.5,E. nor. central,Liberal
About right,31,Female,80.9,E. nor. central,Slightly liberal
Too much,30,Male,62.4,E. nor. central,Slghtly conservative
Too little,36,Female,37.2,E. nor. central,Moderate
Too little,72,Male,0,E. nor. central,Extrmly conservative
About right,29,Female,52,E. nor. central,Slghtly conservative
Too little,83,Female,0,E. nor. central,Liberal
About right,80,Female,84.2,E. nor. central,Slghtly conservative
About right,61,Male,59.1,E. nor. central,Slghtly conservative
Too much,53,Male,46,E. nor. central,Conservative
Too little,61,Female,68.6,E. nor. central,Liberal
Too much,52,Female,26.5,E. nor. central,Slghtly conservative
Too much,37,Male,28.3,Mountain,Slightly liberal
About right,24,Female,37.2,Mountain,Moderate
About right,50,Female,53.7,Mountain,Liberal
About right,28,Female,67.8,Mountain,Moderate
Too much,30,Female,0,Mountain,Extremely liberal
About right,36,Male,83.8,Mountain,Moderate
About right,24,Male,63.7,Mountain,Slightly liberal
About right,63,Female,39.7,Mountain,Moderate
About right,22,Male,25,Mountain,Liberal
Too little,20,Male,35.8,Mountain,Liberal
About right,31,Female,41.1,Mountain,Moderate
Too much,74,Male,69.4,Mountain,Conservative
About right,83,Female,38.1,Mountain,Extrmly conservative
About right,61,Male,86.5,Mountain,Conservative
About right,22,Male,39.7,Mountain,Liberal
About right,63,Female,26.1,Mountain,Slghtly conservative
Too much,46,Male,38.1,Mountain,Moderate
Too little,38,Female,38.8,Mountain,Slghtly conservative
About right,80,Male,43,Mountain,Conservative
Too little,58,Female,38.8,Mountain,Moderate
Too little,52,Female,21.6,E. sou. central,Moderate
Too little,31,Female,45.3,E. sou. central,Extrmly conservative
Too little,34,Male,63.2,E. sou. central,Moderate
Too little,63,Male,59.8,E. sou. central,Conservative
Too little,57,Female,62.1,E. sou. central,Conservative
About right,45,Male,20.7,E. sou. central,Conservative
Too much,60,Male,31.2,E. sou. central,Moderate
About right,67,Female,24.6,E. sou. central,Extrmly conservative
Too little,63,Male,20.7,E. sou. central,Slightly liberal
Too much,50,Male,53.7,E. sou. central,Moderate
About right,29,Male,45.4,E. sou. central,Slghtly conservative
About right,23,Female,19.6,E. sou. central,Moderate
About right,59,Male,43.5,E. sou. central,Conservative
About right,38,Female,82.5,E. sou. central,Slghtly conservative
About right,32,Female,57.8,E. sou. central,Slightly liberal
About right,32,Male,71.8,E. sou. central,Conservative
About right,48,Male,63.7,E. sou. central,Moderate
About right,64,Female,23.3,E. sou. central,Conservative
Too much,30,Female,78.3,E. sou. central,Slightly liberal
Too little,25,Female,33.4,E. sou. central,Moderate
About right,48,Female,37.6,E. sou. central,Slightly liberal
About right,29,Female,12.4,E. sou. central,Slghtly conservative
About right,23,Male,86.6,E. sou. central,Slghtly conservative
Too little,44,Male,57.5,E. sou. central,Slightly liberal
Too little,55,Female,87.9,E. sou. central,Moderate
Too little,25,Male,61.4,E. sou. central,Moderate
Too little,59,Male,92,E. sou. central,Conservative
About right,60,Male,78.3,E. sou. central,Conservative
Too little,53,Female,37.6,E. sou. central,Extremely liberal
Too much,46,Male,27.7,New england,Conservative
Too little,29,Female,21.6,New england,Moderate
About right,50,Female,75.5,New england,Moderate
About right,79,Female,80.9,New england,Moderate
About right,29,Male,23.3,New england,Slghtly conservative
About right,50,Female,57.5,New england,Moderate
Too little,61,Male,34.7,New england,Liberal
About right,21,Female,19.6,New england,Conservative
About right,29,Female,39.7,New england,Slghtly conservative
About right,80,Female,32.6,New england,Moderate
About right,25,Female,13.6,New england,Slghtly conservative
About right,68,Female,38.8,New england,Moderate
About right,47,Male,75.5,New england,Conservative
About right,64,Male,58.4,New england,Moderate
About right,57,Female,30.9,New england,Moderate
Too little,55,Female,36.9,New england,Liberal
Too little,86,Female,52,New england,Slightly liberal
Too little,47,Male,82.5,New england,Conservative
Too little,52,Male,78.3,New england,Liberal
About right,34,Male,25.7,New england,Liberal
About right,65,Male,32.6,New england,Conservative
About right,69,Female,12.6,New england,Liberal
Too little,53,Male,84.5,New england,Liberal
Too little,64,Female,91.1,New england,Extremely liberal
Too little,68,Male,88.6,Middle atlantic,Slghtly conservative
Too little,66,Female,41.8,Middle atlantic,Conservative
About right,43,Male,43,Middle atlantic,Extrmly conservative
About right,21,Female,23.3,Middle atlantic,Moderate
About right,60,Female,24.2,Middle atlantic,Slghtly conservative
Too much,46,Female,38.8,Middle atlantic,Moderate
About right,23,Male,13.6,Middle atlantic,Conservative
About right,33,Male,25.2,Middle atlantic,Conservative
Too little,66,Male,80.9,Middle atlantic,Extremely liberal
About right,43,Female,12.6,Middle atlantic,Liberal
About right,40,Female,10.6,Middle atlantic,Moderate
Too little,59,Female,71.8,Middle atlantic,Liberal
Too little,66,Male,52,Middle atlantic,Liberal
Too little,54,Male,78.3,Middle atlantic,Extremely liberal
About right,24,Male,23.8,Middle atlantic,Liberal
Too little,36,Female,56.8,Middle atlantic,Liberal
About right,52,Male,25,Middle atlantic,Slghtly conservative
Too little,26,Male,44.5,Middle atlantic,Moderate
Too little,64,Female,39.7,Middle atlantic,Moderate
About right,77,Male,77.4,Middle atlantic,Moderate
About right,58,Male,37.6,Middle atlantic,Slghtly conservative
Too little,76,Female,37.2,Middle atlantic,Moderate
Too little,68,Male,32.6,Middle atlantic,Moderate
Too little,20,Female,24.2,Middle atlantic,Moderate
About right,63,Female,46,Middle atlantic,Conservative
About right,57,Female,76.3,Middle atlantic,Moderate
About right,66,Female,33.2,Middle atlantic,Moderate
Too little,63,Female,67.7,Middle atlantic,Slightly liberal
Too little,75,Male,73.9,Middle atlantic,Liberal
Too little,66,Female,73.6,Middle atlantic,Moderate
Too little,53,Male,59.1,Middle atlantic,Liberal
Too little,49,Female,75.5,Middle atlantic,Liberal
Too little,57,Male,75.5,Middle atlantic,Liberal
About right,41,Female,49.2,Middle atlantic,Liberal
About right,42,Female,71.7,Middle atlantic,Slightly liberal
Too little,38,Male,86.7,Middle atlantic,Liberal
Too much,34,Male,27,Middle atlantic,Moderate
About right,72,Male,32,Middle atlantic,Moderate
Too little,39,Female,24.2,Middle atlantic,Moderate
Too much,38,Female,21.6,Middle atlantic,Moderate
About right,55,Male,39.7,Middle atlantic,Moderate
Too little,85,Male,82.5,Middle atlantic,Slightly liberal
About right,32,Male,32.6,Middle atlantic,Moderate
About right,35,Male,71.8,Middle atlantic,Slghtly conservative
Too little,32,Female,12.6,Middle atlantic,Moderate
Too little,67,Female,34.8,Middle atlantic,Slightly liberal
Too much,28,Male,37.6,Middle atlantic,Liberal
Too much,59,Female,82.5,Middle atlantic,Conservative
About right,57,Male,27.2,Middle atlantic,Slghtly conservative
Too much,51,Male,57.4,Middle atlantic,Moderate
About right,66,Female,62.9,Middle atlantic,Moderate
About right,35,Male,67.7,Middle atlantic,Slghtly conservative
About right,28,Female,36.9,Middle atlantic,Moderate
About right,52,Female,84.5,Middle atlantic,Liberal
Too much,89 or older,Male,75.2,Middle atlantic,Moderate
Too little,69,Female,25.7,Middle atlantic,Slghtly conservative
About right,48,Male,65.3,Middle atlantic,Extrmly conservative
About right,36,Female,67.7,Middle atlantic,Moderate
About right,66,Female,46.6,Middle atlantic,Conservative
About right,31,Female,37.6,Middle atlantic,Moderate
Too little,57,Female,20.1,Middle atlantic,Slghtly conservative
About right,48,Female,43.9,Middle atlantic,Conservative
About right,35,Female,20.1,Middle atlantic,Slghtly conservative
About right,59,Female,17.1,Middle atlantic,Liberal
About right,52,Female,64.5,Middle atlantic,Moderate
About right,37,Male,69.3,Middle atlantic,Extremely liberal
About right,35,Male,12.6,Middle atlantic,Slghtly conservative
About right,61,Male,35.8,Middle atlantic,Conservative
About right,67,Female,39.7,Middle atlantic,Moderate
About right,80,Female,27,Middle atlantic,Slghtly conservative
About right,30,Male,45.3,Middle atlantic,Extremely liberal
Too little,56,Female,65.3,Middle atlantic,Slghtly conservative
About right,20,Male,38.1,Middle atlantic,Liberal
About right,53,Female,71.7,Middle atlantic,Conservative
About right,31,Female,69.3,Middle atlantic,Slightly liberal
Too little,51,Female,13.6,Middle atlantic,Moderate
About right,29,Female,13.6,Middle atlantic,Moderate
About right,80,Male,43.9,Middle atlantic,Moderate
About right,67,Female,67.8,Middle atlantic,Slghtly conservative
About right,58,Female,60.5,Middle atlantic,Moderate
About right,19,Female,19.6,Middle atlantic,Extremely liberal
Too little,19,Female,21.6,Middle atlantic,Slghtly conservative
About right,25,Male,20.7,South atlantic,Moderate
About right,34,Female,14,South atlantic,Moderate
About right,78,Male,46.6,South atlantic,Moderate
About right,62,Male,23.8,South atlantic,Moderate
Too little,30,Female,43,South atlantic,Slghtly conservative
About right,65,Female,24.2,South atlantic,Slghtly conservative
About right,45,Female,41.1,South atlantic,Slightly liberal
About right,65,Male,52.5,South atlantic,Moderate
Too little,68,Female,84.2,South atlantic,Slightly liberal
Too little,37,Male,45.4,South atlantic,Moderate
About right,59,Male,28.7,South atlantic,Moderate
About right,80,Male,65.3,South atlantic,Extrmly conservative
About right,29,Female,58.6,South atlantic,Moderate
Too little,57,Female,37.6,South atlantic,Conservative
About right,73,Female,80.9,South atlantic,Conservative
Too little,75,Male,22.9,South atlantic,Slghtly conservative
About right,74,Male,52.3,South atlantic,Moderate
About right,86,Female,35.3,South atlantic,Conservative
Too little,81,Female,35.3,South atlantic,Liberal
Too little,69,Female,21.6,South atlantic,Slghtly conservative
Too little,59,Male,46.5,South atlantic,Conservative
About right,68,Male,31.6,South atlantic,Conservative
About right,28,Female,66.4,South atlantic,Conservative
About right,62,Male,42.8,South atlantic,Slghtly conservative
About right,30,Female,37.6,South atlantic,Moderate
About right,30,Female,56.8,South atlantic,Moderate
About right,52,Male,63.1,South atlantic,Liberal
Too little,50,Female,74.6,South atlantic,Slightly liberal
About right,62,Male,33.9,South atlantic,Moderate
About right,46,Female,59.4,South atlantic,Conservative
Too little,43,Female,45.3,South atlantic,Liberal
About right,27,Male,55.3,South atlantic,Moderate
Too little,36,Male,65.1,South atlantic,Moderate
About right,50,Female,84.5,South atlantic,Liberal
About right,23,Male,0,South atlantic,Moderate
About right,27,Male,82.5,South atlantic,Conservative
Too little,21,Female,19.6,South atlantic,Slightly liberal
Too little,23,Female,24.1,South atlantic,Slightly liberal
Too little,67,Female,84.5,South atlantic,Liberal
Too little,36,Female,75.6,South atlantic,Extremely liberal
About right,28,Male,0,South atlantic,Moderate
Too little,47,Female,39.7,South atlantic,Slightly liberal
Too little,30,Female,12.6,South atlantic,Conservative
Too little,52,Male,59.4,South atlantic,Liberal
About right,66,Male,84.5,South atlantic,Moderate
Too little,60,Male,25.2,South atlantic,Extremely liberal
Too little,31,Female,60.1,South atlantic,Extremely liberal
About right,68,Female,75.5,South atlantic,Conservative
Too little,38,Male,77.2,South atlantic,Slghtly conservative
Too much,81,Male,18.6,South atlantic,Extrmly conservative
About right,56,Female,75.5,South atlantic,Conservative
Too much,42,Male,25.2,South atlantic,Moderate
Too little,24,Female,14,South atlantic,Moderate
Too much,26,Female,82.4,South atlantic,Conservative
About right,50,Female,52,South atlantic,Moderate
About right,19,Female,0,South atlantic,Liberal
About right,31,Female,19.6,South atlantic,Moderate
About right,74,Female,20.5,South atlantic,Slightly liberal
About right,60,Female,58.4,South atlantic,Moderate
Too much,84,Female,39.7,South atlantic,Moderate
About right,33,Female,24.2,South atlantic,Moderate
Too little,40,Female,43,South atlantic,Moderate
About right,59,Female,41.1,South atlantic,Liberal
About right,19,Male,0,South atlantic,Conservative
About right,61,Male,53.6,South atlantic,Liberal
About right,48,Female,34.4,South atlantic,Extrmly conservative
About right,54,Female,71.8,South atlantic,Slightly liberal
About right,41,Female,82.5,South atlantic,Moderate
About right,34,Male,46.6,South atlantic,Conservative
Too little,19,Female,0,South atlantic,Slightly liberal
About right,51,Male,42.9,South atlantic,Moderate
About right,32,Female,64.5,South atlantic,Extremely liberal
Too little,64,Male,67.7,South atlantic,Conservative
Too little,41,Male,32,South atlantic,Moderate
About right,80,Female,38.8,South atlantic,Moderate
About right,28,Male,43.9,South atlantic,Moderate
About right,41,Female,41.1,South atlantic,Conservative
About right,45,Female,82.5,South atlantic,Slghtly conservative
Too little,35,Female,45.1,South atlantic,Moderate
About right,51,Female,24.2,South atlantic,Slghtly conservative
Too much,76,Male,20.7,South atlantic,Conservative
About right,26,Female,24.1,South atlantic,Moderate
About right,62,Male,23.8,South atlantic,Extrmly conservative
Too little,19,Male,13.6,South atlantic,Moderate
About right,18,Female,21.6,South atlantic,Moderate
About right,55,Female,38.8,South atlantic,Moderate
Too little,52,Female,27,South atlantic,Moderate
About right,59,Male,43.5,South atlantic,Slghtly conservative
Too little,67,Female,38.8,South atlantic,Slightly liberal
About right,31,Female,39.7,South atlantic,Moderate
Too little,58,Male,26.1,South atlantic,Slghtly conservative
Too much,83,Female,13.3,South atlantic,Extremely liberal
About right,27,Female,43,South atlantic,Slightly liberal
Too little,72,Male,32,South atlantic,Moderate
About right,58,Female,59.8,South atlantic,Conservative
About right,19,Male,53.7,South atlantic,Moderate
Too little,69,Female,80.9,South atlantic,Moderate
About right,65,Female,73.2,South atlantic,Liberal
Too much,63,Male,32,South atlantic,Conservative
About right,49,Male,69.4,South atlantic,Liberal
Too little,76,Male,50.4,South atlantic,Conservative
About right,65,Male,39.7,South atlantic,Moderate
Too much,28,Male,54.6,South atlantic,Conservative
Too little,82,Female,20.1,South atlantic,Slightly liberal
About right,49,Male,25,South atlantic,Moderate
About right,33,Male,62.9,South atlantic,Conservative
Too little,60,Male,52.3,South atlantic,Conservative
Too little,69,Female,39.7,South atlantic,Conservative
Too little,39,Female,37.6,South atlantic,Moderate
About right,37,Female,73.5,South atlantic,Slghtly conservative
Too little,44,Female,37.6,South atlantic,Moderate
About right,36,Female,71.8,South atlantic,Slightly liberal
About right,43,Male,25.2,South atlantic,Extremely liberal
About right,44,Male,24.1,South atlantic,Slghtly conservative
Too little,66,Female,71.8,South atlantic,Moderate
About right,75,Female,15.8,South atlantic,Extrmly conservative
About right,73,Female,38.8,South atlantic,Slghtly conservative
About right,61,Male,20.1,South atlantic,Conservative
About right,58,Male,20.5,South atlantic,Extremely liberal
Too little,37,Female,24.6,South atlantic,Moderate
About right,30,Male,24.6,South atlantic,Slightly liberal
Too little,44,Female,20.7,South atlantic,Extremely liberal
Too little,48,Male,43.4,South atlantic,Liberal
About right,57,Female,19.6,South atlantic,Liberal
About right,47,Male,64.9,South atlantic,Slghtly conservative
About right,67,Male,53.6,South atlantic,Moderate
Too little,70,Female,14.8,South atlantic,Slightly liberal
About right,38,Female,24.2,South atlantic,Slightly liberal
About right,39,Female,87.9,South atlantic,Moderate
About right,55,Female,35.8,South atlantic,Conservative
Too little,27,Male,43,South atlantic,Moderate
Too little,21,Female,37.6,South atlantic,Conservative
Too little,59,Female,49.2,South atlantic,Liberal
About right,61,Female,82.5,South atlantic,Moderate
Too little,58,Female,24.2,South atlantic,Moderate
Too little,52,Male,75.6,South atlantic,Slghtly conservative
Too much,61,Female,64.2,South atlantic,Conservative
About right,63,Female,80.9,South atlantic,Conservative
Too little,86,Male,69.3,South atlantic,Liberal
About right,32,Male,28.7,South atlantic,Moderate
Too little,50,Male,37.2,South atlantic,Slghtly conservative
Too little,55,Female,49.4,South atlantic,Moderate
Too little,38,Male,32,South atlantic,Moderate
About right,39,Female,20.1,South atlantic,Moderate
About right,19,Male,39.7,South atlantic,Liberal
Too little,45,Female,37.6,South atlantic,Moderate
About right,23,Male,21.6,South atlantic,Slightly liberal
Too little,73,Female,59.1,South atlantic,Conservative
Too little,50,Female,61.2,South atlantic,Conservative
About right,67,Female,82.5,South atlantic,Moderate
About right,37,Female,23.3,South atlantic,Extrmly conservative
About right,40,Female,38.3,South atlantic,Conservative
Too little,41,Male,67.7,South atlantic,Slghtly conservative
About right,65,Male,76.3,South atlantic,Extremely liberal
About right,57,Male,57.4,South atlantic,Slghtly conservative
About right,37,Male,68.6,South atlantic,Liberal
Too much,86,Male,50.4,South atlantic,Moderate
Too little,67,Female,71.8,South atlantic,Extremely liberal
About right,80,Male,67.7,South atlantic,Conservative
Too little,32,Male,85.9,South atlantic,Moderate
About right,33,Female,73.9,South atlantic,Moderate
About right,56,Female,21.5,South atlantic,Slightly liberal
About right,61,Female,84.2,South atlantic,Liberal
Too little,80,Male,80.9,South atlantic,Moderate
Too little,48,Male,26.9,South atlantic,Conservative
About right,65,Male,18.6,South atlantic,Moderate
About right,61,Male,81.6,South atlantic,Conservative
About right,73,Female,28.6,South atlantic,Liberal
Too much,57,Male,32.8,South atlantic,Slightly liberal
About right,71,Female,33.2,South atlantic,Conservative
About right,58,Female,20.1,South atlantic,Slghtly conservative
Too much,78,Male,31.9,South atlantic,Conservative
Too little,52,Female,37.8,South atlantic,Moderate
About right,48,Female,19.6,South atlantic,Conservative
Too little,61,Male,28.4,South atlantic,Slghtly conservative
Too little,50,Male,80.9,South atlantic,Conservative
Too little,45,Female,39.7,South atlantic,Moderate
Too little,53,Female,37.6,South atlantic,Moderate
Too much,28,Male,43.9,South atlantic,Extrmly conservative
About right,89 or older,Female,38.1,South atlantic,Moderate
About right,89 or older,Male,39.1,South atlantic,Slightly liberal
Too little,62,Female,43,South atlantic,Moderate
Too little,52,Female,12.6,South atlantic,Moderate
About right,43,Male,32,South atlantic,Slghtly conservative
Too little,61,Male,31,South atlantic,Moderate
About right,37,Female,69.3,South atlantic,Slghtly conservative
Too little,57,Male,32,E. sou. central,Extremely liberal
About right,53,Female,43,E. sou. central,Moderate
Too little,66,Female,21.6,E. sou. central,Moderate
About right,44,Male,35.4,E. sou. central,Extrmly conservative
About right,27,Female,27,E. sou. central,Moderate
About right,24,Male,36.4,E. sou. central,Liberal
About right,44,Female,80.9,E. sou. central,Slghtly conservative
About right,35,Female,24.2,E. sou. central,Conservative
Too little,39,Female,38.8,E. sou. central,Moderate
Too little,79,Male,43,E. sou. central,Conservative
About right,22,Female,68.6,E. sou. central,Liberal
Too little,70,Male,53.2,E. sou. central,Moderate
Too little,33,Male,34.4,E. sou. central,Moderate
About right,52,Female,29.4,E. sou. central,Conservative
About right,71,Female,80.7,E. sou. central,Slightly liberal
About right,78,Female,24.2,E. sou. central,Slightly liberal
Too little,42,Female,60.5,E. sou. central,Slightly liberal
About right,57,Female,67.7,E. sou. central,Conservative
About right,76,Male,29.6,E. sou. central,Extrmly conservative
Too little,62,Female,25,E. sou. central,Liberal
About right,58,Female,84.2,E. sou. central,Slghtly conservative
About right,29,Female,21.6,E. sou. central,Slghtly conservative
